at: 2020-03-30 19:08:08.078280 | Back was pressed while in: live_video
at: 2020-03-30 19:08:23.068390 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 19:09:03.450447 | Connected to manager
at: 2020-03-30 19:09:12.907944 | Connected to manager
at: 2020-03-30 19:09:14.133310 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 19:09:18.740112 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 19:09:26.532226 | Back was pressed while in: live_video
at: 2020-03-30 19:09:28.891716 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 19:11:50.084233 | Connected to manager
at: 2020-03-30 19:11:53.640505 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-30 19:11:58.027410 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-30 19:12:01.024240 | Back was pressed while in: live_video
at: 2020-03-30 19:12:02.230288 | Camera with name of: Desktop, Was chosen to watch live video
